jumlah_kotak_indukan,tipe_kotak_indukan,banyak_indukan/kg,pembenihan_banyak_media_ternak/wadah_dan_/kg,pembesaran_banyak_media_ternak/wadah_dan_/kg,jumlah_kotak_UK,tipe_kotak_UK,hasil_panen,Suhu
2,2,1,3,3,4,1,6.675603656,30
3,1,1,2,2,6,1,12.48080021,30
6,0,1,3,3,15,0,29.22578898,32
10,0,1,2,2,14,0,32.7680195,30
6,0,1,4,4,15,0,28.90431138,33
8,0,18.5,3,3,1,0,17.07886897,30
6,0,1,4,4,15,0,29.93261028,32
9,1,0.85,5,5,2,0,16.73067099,30
5,0,1,3,3,10,1,21.75394101,30
1,1,1,2,2,1,0,4.333406988,30
4,2,0.5,4,4,2,3,7.838961131,30
3,1,1,3,3,6,1,12.48080021,30
13,1,0.85,2,2,20,0,40.83072406,30
7,1,0.85,4,4,12,0,24.11436899,30
4,2,1,3,3,9,1,14.63431976,30
6,0,1,4,4,15,0,28.03782489,28
12,0,1,2,2,22,0,43.79521843,30
6,1,1,4,4,4,2,14.89068922,30
4,1,0.8,2,2,6,1,13.8979214,30
6,0,1,3,3,15,0,28.87237834,32
3,0,1,1,1,16,0,24.85765147,30
6,1,1,3,3,6,0,16.5589902,30
6,0,1,3,3,15,0,29.61113267,33
6,0,1,2,2,15,0,28.10169097,30
5,0,1,3,3,11,0,22.5880915,30
6,0,1,2,2,15,0,28.80851226,30
9,1,0.8,4,4,15,0,30.02613792,30
2,2,0.75,1,1,3,2,5.834993359,30
4,0,0.85,4,4,7,1,17.25929327,30
6,0,1,2,2,15,0,30.73523069,35
4,2,0.5,2,2,9,1,14.62140015,30
2,2,1,3,3,2,2,4.818625558,30
6,0,1,4,4,15,0,28.8404453,31
11,1,0.85,3,3,11,0,28.78069753,30
4,2,0.5,2,2,7,2,12.76442205,30
4,0,1,3,3,6,1,16.24034155,30
6,0,1,5,5,15,0,28.00589185,27
2,2,1,3,3,1,2,3.795797951,30
