suhu,suhu luar ruangan,hasil
32,33,1
35,31,1
31,29,1
35,29,1
35,32,1
35,34,1
31,34,1
33,33,1
30,32,1
33,29,1
30,29,1
34,34,1
35,31,1
31,30,1
30,33,1
32,33,1
34,29,1
35,29,1
33,32,1
32,32,1
33,30,1
27,29,1
30,32,1
33,29,1
34,29,1
29,32,1
28,31,1
32,34,1
33,33,1
30,30,1
30,31,1
33,31,1
31,33,1
31,29,1
30,30,1
35,30,1
32,32,1
31,31,1
31,30,1
29,32,1
33,34,1
30,32,1
32,32,1
35,30,1
31,34,1
35,33,1
30,33,1
35,31,1
30,33,1
31,29,1
34,29,1
33,32,1
30,31,1
33,30,1
32,33,1
35,29,1
29,29,1
32,33,1
34,32,1
35,32,1
31,32,1
32,31,1
31,31,1
34,33,1
34,32,1
35,31,1
30,33,1
32,32,1
34,30,1
32,32,1
32,34,1
31,33,1
35,32,1
29,29,1
35,29,1
35,32,1
33,30,1
34,34,1
28,29,1
33,33,1
33,33,1
35,33,1
33,29,1
32,34,1
33,33,1
35,33,1
33,29,1
28,30,1
35,32,1
35,31,1
28,29,1
32,34,1
34,30,1
29,32,1
34,31,1
35,34,1
34,33,1
30,29,1
33,30,1
35,30,1
30,32,1
32,34,1
32,31,1
34,31,1
29,30,1
32,29,1
30,30,1
34,29,1
32,29,1
29,31,1
32,34,1
35,29,1
28,30,1
33,31,1
32,29,1
33,30,1
27,29,1
31,30,1
31,33,1
31,33,1
33,31,1
30,33,1
30,32,1
31,34,1
31,32,1
33,31,1
32,32,1
29,31,1
33,30,1
32,33,1
32,30,1
32,34,1
34,32,1
31,31,1
32,34,1
32,32,1
33,31,1
33,29,1
34,34,1
35,32,1
33,30,1
30,32,1
29,31,1
32,30,1
27,29,1
28,30,1
33,31,1
35,31,1
32,30,1
33,29,1
33,32,1
30,32,1
33,31,1
33,32,1
33,31,1
32,29,1
34,29,1
35,32,1
34,29,1
31,29,1
33,32,1
29,32,1
33,32,1
34,32,1
32,30,1
32,33,1
32,32,1
33,30,1
33,32,1
32,29,1
29,29,1
33,31,1
35,30,1
35,30,1
29,29,1
32,34,1
29,32,1
29,29,1
34,33,1
33,32,1
31,32,1
32,30,1
33,32,1
31,29,1
34,30,1
31,34,1
33,29,1
28,30,1
31,30,1
35,33,1
30,32,1
31,33,1
32,32,1
28,31,1
31,32,1
32,34,1
33,31,1
33,32,1
29,32,1
34,32,1
34,33,1
35,33,1
29,31,1
33,31,1
32,30,1
32,30,1
31,30,1
30,31,1
31,33,1
34,30,1
28,29,1
33,33,1
31,31,1
33,29,1
30,33,1
28,30,1
35,31,1
31,30,1
35,34,1
29,29,1
34,34,1
32,31,1
35,30,1
28,31,1
32,32,1
34,31,1
30,33,1
35,34,1
35,32,1
34,32,1
32,31,1
33,31,1
33,32,1
30,33,1
30,30,1
32,30,1
30,29,1
31,29,1
32,32,1
34,29,1
33,31,1
34,31,1
32,34,1
31,32,1
34,30,1
31,31,1
32,32,1
35,30,1
32,30,1
27,30,1
30,31,1
35,30,1
32,34,1
29,29,1
32,30,1
31,32,1
31,31,1
34,30,1
34,34,1
28,29,1
30,32,1
