Tipe Kotak Indukan,Jumlah Indukan,Banyak Indukan/kg,Tipe Kotak UK,Jumlah UK,Hasil Panen/kg
A,6,1,A,15,30
B,9,0.8,A,15,30
B,4,0.8,B,6,11.5
B,1,1,B,6,11.5
B,1,1,B,2,2
B,5,1,B,10,11
A,1,1,B,2,2
B,5,1,C,10,10
B,3,1,B,6,7
A,1,1,A,1,2
A,5,5,A,12,22.5
B,7,0.85,A,12,22.5
A,3,1,C,2,18
B,7,1,A,3,18
C,1,1,B,4,18
A,4,1,A,1,12
A,4,1,B,6,12
C,1,1,B,2,2
C,2,1,B,5,5
B,3,1,B,6,8.5
C,4,1,B,9,9.5
A,8,1,A,8,16
B,5,0.85,A,5,10
B,6,1,A,6,10.5
C,7,1,B,7,7
B,1,1,C,7,5
C,4,1,B,1,4
C,2,0.85,C,5,7
B,1,1,A,1,7
A,7,1,A,20,37.5
B,13,0.85,A,20,37.5
C,6,1,C,6,7.5
C,2,1,C,4,5
A,5,1,B,10,13.5
C,3,1,D,7,7
A,12,1,A,22,46
B,13,1,B,5,46
A,3,1,B,10,10
C,5,1,B,10,11.5
C,5,1,A,1,2
C,2,1,C,1,4
C,2,1,C,2,2
A,7,1,A,2,16
B,9,0.85,A,2,16
B,4,1,A,4,15
C,3,1,B,6,15
B,6,1,D,8,17
B,6,1,C,4,17
A,8,1,A,21,40
B,13,0.85,A,21,40
A,4,0.85,B,7,10.5
A,2,6,B,12,16
C,4,0.725,B,12,16
A,2,1,A,4,9
C,2,0.75,C,3,9
C,5,5,C,5,9
B,1,0.75,A,1,9
A,8,18.5,A,1,21
B,13,0.8,A,1,21
B,9,0.85,C,8,16
B,9,0.85,D,5,16
A,2,2,A,2,10.5
B,1,0.85,B,2,10.5
C,2,0.725,D,4,10.5
A,10,1,A,14,24
B,5,0.84,B,4,24
A,2,5,A,4,5
B,3,1,B,6,5
B,7,9,A,7,20
C,3,1,C,6,20
A,1,3,A,2,7.5
C,2,1,B,4,7.5
A,8,1,A,21,37
C,4,0.85,C,8,37
B,7,0.725,C,8,37
C,2,2,D,4,4
A,5,6.5,A,5,13
B,1,1,C,3,13
A,3,1,A,16,40
B,14,0.85,B,14,40
C,5,725,B,14,40
A,5,1,C,6,21
B,3,1,B,10,21
A,5,1,A,11,42
B,11,0.85,A,11,42
A,2,1,A,8,8
B,2,0.85,A,8,8
A,3,1,A,7,14
C,7,0.725,C,5,14
C,4,0.5,C,7,6.5
C,4,0.5,D,1,6.5
C,4,0.5,D,2,2
C,4,0.5,D,5,5.25
C,4,0.5,A,7,25.5
C,4,0.5,B,9,25.5
B,9,0.85,A,14,23
A,3,1,B,1,23
B,4,1,A,4,15
A,3,0.85,B,6,15
A,1,1,B,5,10
A,1,1,C,2,10
B,5,1,B,7,9
B,5,1,B,2,4
B,14,1,A,14,26
A,1,1,A,1,2
B,7,0.85,A,7,13
B,3,0.85,C,3,13
B,6,1,C,7,13
B,6,1,D,5,13
